Frame 3300: Character pos=(0.0, 0.0, 0.0), Room=10406, Speed=0.00, Time=10497376
Frame 3400: Character pos=(0.0, 0.0, 0.0), Room=10881, Speed=0.00, Time=10497376
Frame 3500: Character pos=(0.0, 0.0, 0.0), Room=11433, Speed=0.00, Time=10497376
Frame 3600: Character pos=(0.0, 0.0, 0.0), Room=12021, Speed=0.00, Time=10497376
Frame 3700: Character pos=(0.0, 0.0, 0.0), Room=12611, Speed=0.00, Time=10497376
Frame 3800: Character pos=(0.0, 0.0, 0.0), Room=13223, Speed=0.00, Time=10497376
Frame 3900: Character pos=(0.0, 0.0, 0.0), Room=13785, Speed=0.00, Time=10497376
Frame 4000: Character pos=(0.0, 0.0, 0.0), Room=14342, Speed=0.00, Time=10497376
Frame 4100: Character pos=(0.0, 0.0, 0.0), Room=14897, Speed=0.00, Time=10497376
Frame 4200: Character pos=(0.0, 0.0, 0.0), Room=15488, Speed=0.00, Time=10497376
Frame 4300: Character pos=(0.0, 0.0, 0.0), Room=16073, Speed=0.00, Time=10497376
Frame 4400: Character pos=(0.0, 0.0, 0.0), Room=16673, Speed=0.00, Time=10497376
Frame 4500: Character pos=(0.0, 0.0, 0.0), Room=17240, Speed=0.00, Time=10497376
Frame 0: Character pos=(0.0, 0.0, 0.0), Room=-5994, Speed=0.00, Time=19679176
Frame 1: Character pos=(0.0, 0.0, 0.0), Room=-5994, Speed=0.00, Time=19679176
Frame 100: Character pos=(0.0, 0.0, 0.0), Room=-5526, Speed=0.00, Time=19679176
Frame 200: Character pos=(0.0, 0.0, 0.0), Room=-5060, Speed=0.00, Time=19679176
Frame 300: Character pos=(0.0, 0.0, 0.0), Room=-4588, Speed=0.00, Time=19679176
Frame 301: Character pos=(0.0, 0.0, 0.0), Room=-4588, Speed=0.00, Time=19679176
Frame 400: Character pos=(0.0, 0.0, 0.0), Room=-4122, Speed=0.00, Time=19679176
Frame 0: Character pos=(0.0, 0.0, 0.0), Room=-5995, Speed=0.00, Time=19000704
Frame 100: Character pos=(0.0, 0.0, 0.0), Room=-5384, Speed=0.00, Time=19000704
Frame 200: Character pos=(0.0, 0.0, 0.0), Room=-4645, Speed=0.00, Time=19000704
Frame 0: Character pos=(0.0, 0.0, 0.0), Room=-5995, Speed=0.00, Time=22414376
Frame 100: Character pos=(0.0, 0.0, 0.0), Room=-5354, Speed=0.00, Time=22414376
Frame 200: Character pos=(0.0, 0.0, 0.0), Room=-4767, Speed=0.00, Time=22414376
Frame 300: Character pos=(0.0, 0.0, 0.0), Room=-4093, Speed=0.00, Time=22414376
Frame 400: Character pos=(0.0, 0.0, 0.0), Room=-3548, Speed=0.00, Time=22414376
Frame 500: Character pos=(0.0, 0.0, 0.0), Room=-2994, Speed=0.00, Time=22414376
Frame 600: Character pos=(0.0, 0.0, 0.0), Room=-2410, Speed=0.00, Time=22414376
Frame 700: Character pos=(0.0, 0.0, 0.0), Room=-1826, Speed=0.00, Time=22414376
Frame 0: Character pos=(0.0, 0.0, 0.0), Room=-6000, Speed=0.00, Time=20753056
Frame 0: Character pos=(0.0, 0.0, 0.0), Room=-6000, Speed=0.00, Time=13517272
Frame 100: Character pos=(0.0, 0.0, 0.0), Room=-5496, Speed=0.00, Time=13517272
Frame 200: Character pos=(0.0, 0.0, 0.0), Room=-5022, Speed=0.00, Time=13517272
Frame 300: Character pos=(0.0, 0.0, 0.0), Room=-4522, Speed=0.00, Time=13517272
Frame 400: Character pos=(0.0, 0.0, 0.0), Room=-3995, Speed=0.00, Time=13517272
Frame 500: Character pos=(0.0, 0.0, 0.0), Room=-3466, Speed=0.00, Time=13517272
Frame 600: Character pos=(0.0, 0.0, 0.0), Room=-2928, Speed=0.00, Time=13517272
Frame 700: Character pos=(0.0, 0.0, 0.0), Room=-2382, Speed=0.00, Time=13517272
Frame 800: Character pos=(0.0, 0.0, 0.0), Room=-1891, Speed=0.00, Time=13517272
Frame 900: Character pos=(0.0, 0.0, 0.0), Room=-1405, Speed=0.00, Time=13517272
Frame 1000: Character pos=(0.0, 0.0, 0.0), Room=-895, Speed=0.00, Time=13517272
Frame 1100: Character pos=(0.0, 0.0, 0.0), Room=-426, Speed=0.00, Time=13517272
Frame 1200: Character pos=(0.0, 0.0, 0.0), Room=103, Speed=0.00, Time=13517272
Frame 1300: Character pos=(0.0, 0.0, 0.0), Room=648, Speed=0.00, Time=13517272
Frame 1400: Character pos=(0.0, 0.0, 0.0), Room=1121, Speed=0.00, Time=13517272
Frame 1500: Character pos=(0.0, 0.0, 0.0), Room=2054, Speed=0.00, Time=13517272
Frame 1600: Character pos=(0.0, 0.0, 0.0), Room=2837, Speed=0.00, Time=13517272
Frame 1700: Character pos=(0.0, 0.0, 0.0), Room=3812, Speed=0.00, Time=13517272
Frame 1800: Character pos=(0.0, 0.0, 0.0), Room=4610, Speed=0.00, Time=13517272
Frame 1900: Character pos=(0.0, 0.0, 0.0), Room=5435, Speed=0.00, Time=13517272
Frame 2000: Character pos=(0.0, 0.0, 0.0), Room=6159, Speed=0.00, Time=13517272
Frame 2100: Character pos=(0.0, 0.0, 0.0), Room=7010, Speed=0.00, Time=13517272
Frame 2200: Character pos=(0.0, 0.0, 0.0), Room=7818, Speed=0.00, Time=13517272
Frame 2300: Character pos=(0.0, 0.0, 0.0), Room=8536, Speed=0.00, Time=13517272
